Row Labels,Average of price
Allerton,$134.92
Arden Heights,$129.00
Arrochar,$133.00
Arverne,$208.45
Astoria,$121.22
Bath Beach,$199.89
Battery Park City,$270.63
Bay Ridge,$157.13
Bay Terrace,$147.40
Baychester,$122.48
Bayside,$170.78
Bayswater,$110.90
Bedford-Stuyvesant,$142.48
Belle Harbor,$339.00
Bellerose,$616.90
Belmont,$122.90
Bensonhurst,$111.31
Bergen Beach,$216.69
Boerum Hill,$249.25
Borough Park,$94.99
Breezy Point,$164.00
Briarwood,$329.00
Brighton Beach,$142.66
Bronxdale,$92.77
Brooklyn Heights,$229.85
Brownsville,$139.63
Bull's Head,$262.33
Bushwick,$114.16
Cambria Heights,$146.87
Canarsie,$188.88
Carroll Gardens,$251.58
Castle Hill,$111.00
Castleton Corners,$113.71
Chelsea,$315.46
"Chelsea, Staten Island",$102.00
Chinatown,$267.29
City Island,$169.25
Civic Center,$276.00
Claremont Village,$98.40
Clason Point,$110.29
Clifton,$146.82
Clinton Hill,$213.80
Co-op City,$76.43
Cobble Hill,$265.19
College Point,$132.63
Columbia St,$200.48
Concord,$107.67
Concourse,$110.65
Concourse Village,$92.00
Coney Island,$132.43
Corona,$93.98
Country Club,$147.75
Crown Heights,$148.96
Cypress Hills,$111.05
Ditmars Steinway,$157.98
Dongan Hills,$160.50
Douglaston,$80.88
Downtown Brooklyn,$291.46
DUMBO,$296.67
Dyker Heights,$130.05
East Elmhurst,$138.51
East Flatbush,$260.87
East Harlem,$254.13
East Morrisania,$113.55
East New York,$140.21
East Village,$243.04
Eastchester,$154.08
Edenwald,$103.88
Edgemere,$160.68
Elmhurst,$84.74
Eltingville,$252.25
Emerson Hill,$114.00
Far Rockaway,$163.75
Fieldston,$87.20
Financial District,$463.73
Flatbush,$135.85
Flatiron District,$462.19
Flatlands,$139.85
Flushing,$110.03
Fordham,$96.12
Forest Hills,$835.14
Fort Greene,$193.14
Fort Hamilton,$110.19
Fort Wadsworth,$800.00
Fresh Meadows,$146.84
Gerritsen Beach,$195.00
Glendale,$116.61
Gowanus,$263.50
Gramercy,$275.08
Graniteville,$89.17
Grant City,$67.94
Gravesend,$127.43
Great Kills,$128.40
Greenpoint,$214.08
Greenwich Village,$340.21
Grymes Hill,$201.00
Harlem,$167.90
Hell's Kitchen,$302.18
Highbridge,$81.35
Hollis,$86.44
Holliswood,$197.14
Howard Beach,$159.15
Howland Hook,$170.00
Huguenot,$115.50
Hunts Point,$82.64
Inwood,$94.46
Jackson Heights,$96.20
Jamaica,$133.02
Jamaica Estates,$132.23
Jamaica Hills,$126.00
Kensington,$134.72
Kew Gardens,$133.51
Kew Gardens Hills,$151.31
Kingsbridge,$112.80
Kips Bay,$261.00
Laurelton,$124.39
Lighthouse Hill,$250.00
Little Italy,$298.63
Little Neck,$49.00
Long Island City,$219.24
Longwood,$240.09
Lower East Side,$303.39
Manhattan Beach,$210.25
Marble Hill,$117.60
Mariners Harbor,$91.87
Maspeth,$122.66
Melrose,$105.04
Middle Village,$154.97
Midland Beach,$140.00
Midtown,$461.79
Midwood,$103.05
Mill Basin,$175.83
Morningside Heights,$136.04
Morris Heights,$86.49
Morris Park,$96.21
Morrisania,$107.70
Mott Haven,$147.04
Mount Eden,$89.38
Mount Hope,$207.13
Murray Hill,$406.67
Navy Yard,$422.22
Neponsit,$295.00
New Brighton,$165.08
New Dorp,$40.00
New Dorp Beach,$137.57
New Springville,$197.60
NoHo,$445.70
Nolita,$249.87
North Riverdale,$156.57
Norwood,$103.91
Oakwood,$151.75
Olinville,$226.85
Ozone Park,$115.87
Park Slope,$239.10
Parkchester,$122.38
Pelham Bay,$132.00
Pelham Gardens,$133.34
Port Morris,$129.76
Port Richmond,$148.85
Prince's Bay,$193.14
Prospect Heights,$218.29
Prospect-Lefferts Gardens,$127.33
Queens Village,$154.59
Randall Manor,$137.47
Red Hook,$256.72
Rego Park,$105.09
Richmond Hill,$104.44
Richmondtown,$112.33
Ridgewood,$115.12
Riverdale,$326.89
Rockaway Beach,$175.59
Roosevelt Island,$140.42
Rosebank,$137.75
Rosedale,$125.71
Rossville,$101.00
Schuylerville,$171.96
Sea Gate,$213.75
Sheepshead Bay,$217.55
Shore Acres,$127.67
Silver Lake,$141.67
SoHo,$626.36
Soundview,$187.64
South Beach,$104.75
South Ozone Park,$243.79
South Slope,$182.56
Springfield Gardens,$142.51
Spuyten Duyvil,$196.67
St. Albans,$143.93
St. George,$129.68
Stapleton,$173.32
Stuyvesant Town,$204.47
Sunnyside,$111.04
Sunset Park,$128.09
Theater District,$644.60
Throgs Neck,$125.14
Todt Hill,$299.00
Tompkinsville,$122.02
Tottenville,$255.75
Tremont,$109.27
Tribeca,$752.76
Two Bridges,$161.37
Unionport,$149.47
University Heights,$104.67
Upper East Side,$258.50
Upper West Side,$274.51
Van Nest,$156.92
Vinegar Hill,$262.59
Wakefield,$107.64
Washington Heights,$116.72
West Brighton,"$2,090.15"
West Farms,$89.38
West Village,$340.29
Westchester Square,$91.75
Westerleigh,$122.00
Whitestone,$238.50
Williamsbridge,$114.19
Williamsburg,$240.79
Willowbrook,$264.00
Windsor Terrace,$174.91
Woodhaven,$93.65
Woodlawn,$121.67
Woodrow,$75.00
Woodside,$86.93
Grand Total,$225.26
