id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,price,availability_365
5121,7356,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,60,0
2595,2845,Manhattan,Midtown,40.75356,-73.98559,240,325
14991,59023,Manhattan,Lower East Side,40.72207,-73.98976,120,268
5136,7378,Brooklyn,Sunset Park,40.66265,-73.99454,276,275
59709,186084,Manhattan,Chinatown,40.7178,-73.9932,325,38
5178,8967,Manhattan,Midtown,40.76457,-73.98317,68,10
15341,60049,Manhattan,Lower East Side,40.721359,-73.993668,315,160
5203,7490,Manhattan,Upper West Side,40.8038,-73.96751,75,0
5803,9744,Brooklyn,South Slope,40.66801,-73.98784,134,148
60164,289653,Manhattan,Tribeca,40.72012,-74.00397,500,45
15385,60252,Brooklyn,Williamsburg,40.71211,-73.96397,91,225
15396,60278,Manhattan,Chelsea,40.74493,-73.99521,400,107
60181,128806,Manhattan,East Village,40.7253,-73.98028,160,3
60457,99212,Manhattan,Greenwich Village,40.73072,-73.99275,250,0
6848,15991,Brooklyn,Williamsburg,40.70935,-73.95342,81,152
16338,63613,Brooklyn,Clinton Hill,40.69121,-73.96804,55,66
6872,16104,Manhattan,East Harlem,40.80107,-73.94255,65,277
60611,292204,Manhattan,East Harlem,40.79266739,-73.9465332,135,115
16580,64442,Manhattan,East Village,40.72489,-73.9781,143,155
60666,256161,Manhattan,Harlem,40.81006,-73.94559,111,19
6990,16800,Manhattan,East Harlem,40.78778,-73.94759,72,204
16821,4396,Manhattan,East Village,40.72281,-73.98501,162,4
60673,249372,Manhattan,Harlem,40.81562,-73.94674,125,0
16974,65837,Manhattan,East Harlem,40.8019,-73.93762,300,165
60680,292630,Manhattan,East Village,40.72598,-73.97978,99,352
17037,66035,Manhattan,East Village,40.72289,-73.98028,220,168
60794,293394,Manhattan,Upper West Side,40.79918,-73.96248,211,0
17693,68428,Manhattan,Washington Heights,40.83253,-73.94108,85,338
61509,23619,Manhattan,Midtown,40.75743,-73.96825,110,0
18018,69439,Manhattan,Lower East Side,40.7209818,-73.9931495,215,249
7064,17297,Brooklyn,Williamsburg,40.71248,-73.95881,95,0
18152,69942,Manhattan,Upper East Side,40.76967,-73.94831,500,331
7097,17571,Brooklyn,Fort Greene,40.69172373,-73.97388146,205,277
62891,306545,Manhattan,East Village,40.72297,-73.98265,175,186
18728,71876,Manhattan,Chelsea,40.74261,-74.00353,195,247
62925,306739,Brooklyn,Greenpoint,40.72967,-73.95352,325,106
63588,295128,Bronx,Clason Point,40.81161,-73.85499,89,0
7801,21207,Brooklyn,Williamsburg,40.71778,-73.9568,395,338
18961,70857,Manhattan,Kips Bay,40.73808,-73.98001,95,0
8490,25183,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,162,279
63610,310670,Bronx,Eastchester,40.881,-73.83511,100,339
19282,73469,Brooklyn,Flatbush,40.65437,-73.96278,110,77
63657,170510,Brooklyn,Bedford-Stuyvesant,40.68253,-73.94295,135,0
9357,30193,Manhattan,Hell's Kitchen,40.76724,-73.98664,175,0
19812,74857,Brooklyn,Williamsburg,40.71802,-73.95724,105,226
9704,32045,Manhattan,Harlem,40.81317,-73.95465,55,248
64000,312722,Brooklyn,Williamsburg,40.70724777,-73.95460233,50,276
20913,79402,Brooklyn,Williamsburg,40.70967,-73.95922,80,0
64015,146944,Manhattan,East Village,40.72863,-73.9842,200,0
64107,313317,Brooklyn,Crown Heights,40.67582,-73.94316,100,1
21644,82685,Manhattan,Harlem,40.82782,-73.9473,99,0
64314,314256,Brooklyn,Crown Heights,40.67634,-73.95143,100,346
10452,35935,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,90,304
21794,83257,Manhattan,Chelsea,40.74187,-74.00223,85,295
10962,9744,Brooklyn,South Slope,40.66692,-73.98981,135,159
11943,45445,Brooklyn,Flatbush,40.63702,-73.96327,150,0
64365,314582,Brooklyn,Crown Heights,40.67579,-73.95072,65,287
